Local time,Open,High,Low,Close,Volume
04.05.2003 09:00:00.000 GMT+0900,4.704,4.770,4.624,4.729,4099999.9
05.05.2003 09:00:00.000 GMT+0900,4.719,4.849,4.411,4.663,596900024.41
06.05.2003 09:00:00.000 GMT+0900,4.661,4.870,4.398,4.678,693799987.79
07.05.2003 09:00:00.000 GMT+0900,4.664,4.826,4.370,4.689,694700012.21
08.05.2003 09:00:00.000 GMT+0900,4.708,4.825,4.359,4.675,662650024.41
09.05.2003 09:00:00.000 GMT+0900,4.728,4.861,4.416,4.717,685900024.41
10.05.2003 09:00:00.000 GMT+0900,4.717,4.717,4.717,4.717,0
11.05.2003 09:00:00.000 GMT+0900,4.717,4.717,4.717,4.717,0
12.05.2003 09:00:00.000 GMT+0900,4.718,4.905,4.436,4.716,684750000
13.05.2003 09:00:00.000 GMT+0900,4.708,4.918,4.469,4.769,697599975.59
14.05.2003 09:00:00.000 GMT+0900,4.807,4.926,4.434,4.797,691549987.79
15.05.2003 09:00:00.000 GMT+0900,4.826,4.915,4.465,4.641,654549987.79
16.05.2003 09:00:00.000 GMT+0900,4.736,4.848,4.439,4.732,604900024.41
17.05.2003 09:00:00.000 GMT+0900,4.732,4.732,4.732,4.732,0
18.05.2003 09:00:00.000 GMT+0900,4.732,4.732,4.732,4.732,0
19.05.2003 09:00:00.000 GMT+0900,4.762,4.947,4.465,4.705,692799987.79
20.05.2003 09:00:00.000 GMT+0900,4.784,4.906,4.433,4.638,697900024.41
21.05.2003 09:00:00.000 GMT+0900,4.612,4.855,4.358,4.600,683400024.41
22.05.2003 09:00:00.000 GMT+0900,4.550,4.760,4.346,4.594,708299987.79
23.05.2003 09:00:00.000 GMT+0900,4.482,4.715,4.314,4.589,650500000
24.05.2003 09:00:00.000 GMT+0900,4.589,4.589,4.589,4.589,0
25.05.2003 09:00:00.000 GMT+0900,4.589,4.589,4.589,4.589,0
26.05.2003 09:00:00.000 GMT+0900,4.585,4.719,4.439,4.618,235899993.9
27.05.2003 09:00:00.000 GMT+0900,4.648,4.747,4.409,4.559,332149993.9
28.05.2003 09:00:00.000 GMT+0900,4.564,4.693,4.365,4.585,304350006.1
29.05.2003 09:00:00.000 GMT+0900,4.578,4.688,4.351,4.519,324500000
30.05.2003 09:00:00.000 GMT+0900,4.553,4.612,4.322,4.492,301850006.1
31.05.2003 09:00:00.000 GMT+0900,4.492,4.492,4.492,4.492,0
01.06.2003 09:00:00.000 GMT+0900,4.492,4.492,4.492,4.492,0
02.06.2003 09:00:00.000 GMT+0900,4.474,4.590,4.288,4.459,328950012.21
03.06.2003 09:00:00.000 GMT+0900,4.455,4.607,4.290,4.459,338049987.79
04.06.2003 09:00:00.000 GMT+0900,4.373,4.580,4.140,4.437,629599975.59
05.06.2003 09:00:00.000 GMT+0900,4.298,4.542,4.119,4.380,685200012.21
06.06.2003 09:00:00.000 GMT+0900,4.445,4.614,4.188,4.510,656400024.41
07.06.2003 09:00:00.000 GMT+0900,4.510,4.510,4.510,4.510,0
08.06.2003 09:00:00.000 GMT+0900,4.365,4.519,4.237,4.407,9199999.81
09.06.2003 09:00:00.000 GMT+0900,4.485,4.590,4.282,4.469,328950012.21
10.06.2003 09:00:00.000 GMT+0900,4.481,4.609,4.250,4.429,332200012.21
11.06.2003 09:00:00.000 GMT+0900,4.432,4.539,4.267,4.454,296450012.21
12.06.2003 09:00:00.000 GMT+0900,4.487,4.586,4.279,4.459,301850006.1
13.06.2003 09:00:00.000 GMT+0900,4.476,4.583,4.284,4.531,312899993.9
14.06.2003 09:00:00.000 GMT+0900,4.531,4.531,4.531,4.531,0
15.06.2003 09:00:00.000 GMT+0900,4.531,4.531,4.531,4.531,0
16.06.2003 09:00:00.000 GMT+0900,4.515,4.669,4.367,4.559,334250000
17.06.2003 09:00:00.000 GMT+0900,4.542,4.671,4.395,4.586,328950012.21
18.06.2003 09:00:00.000 GMT+0900,4.593,4.622,4.349,4.514,327399993.9
19.06.2003 09:00:00.000 GMT+0900,4.547,4.636,4.315,4.524,327350006.1
20.06.2003 09:00:00.000 GMT+0900,4.525,4.631,4.336,4.479,314049987.79
21.06.2003 09:00:00.000 GMT+0900,4.479,4.479,4.479,4.479,0
22.06.2003 09:00:00.000 GMT+0900,4.469,4.523,4.378,4.487,4099999.9
23.06.2003 09:00:00.000 GMT+0900,4.482,4.614,4.305,4.496,328950012.21
24.06.2003 09:00:00.000 GMT+0900,4.500,4.582,4.292,4.469,307600006.1
25.06.2003 09:00:00.000 GMT+0900,4.466,4.578,4.313,4.511,245050003.05
26.06.2003 09:00:00.000 GMT+0900,4.532,4.596,4.291,4.467,322100006.1
27.06.2003 09:00:00.000 GMT+0900,4.459,4.629,4.309,4.510,313950012.21
28.06.2003 09:00:00.000 GMT+0900,4.510,4.510,4.510,4.510,0
29.06.2003 09:00:00.000 GMT+0900,4.510,4.510,4.510,4.510,0
30.06.2003 09:00:00.000 GMT+0900,4.504,4.614,4.307,4.509,307600006.1
01.07.2003 09:00:00.000 GMT+0900,4.501,4.637,4.321,4.520,236949996.95
02.07.2003 09:00:00.000 GMT+0900,4.542,4.720,4.365,4.584,274299987.79
03.07.2003 09:00:00.000 GMT+0900,4.613,4.697,4.420,4.629,290200012.21
04.07.2003 09:00:00.000 GMT+0900,4.648,4.715,4.460,4.630,191449996.95
05.07.2003 09:00:00.000 GMT+0900,4.630,4.630,4.630,4.630,0
06.07.2003 09:00:00.000 GMT+0900,4.630,4.630,4.630,4.630,0
07.07.2003 09:00:00.000 GMT+0900,4.648,4.745,4.465,4.669,295399993.9
08.07.2003 09:00:00.000 GMT+0900,4.674,4.808,4.485,4.689,298250000
09.07.2003 09:00:00.000 GMT+0900,4.682,4.827,4.513,4.758,270649993.9
10.07.2003 09:00:00.000 GMT+0900,4.755,4.906,4.588,4.737,334149993.9
11.07.2003 09:00:00.000 GMT+0900,4.763,4.838,4.551,4.739,313450012.21
12.07.2003 09:00:00.000 GMT+0900,4.739,4.739,4.739,4.739,0
13.07.2003 09:00:00.000 GMT+0900,4.711,4.776,4.620,4.737,4099999.9
14.07.2003 09:00:00.000 GMT+0900,4.761,4.887,4.540,4.729,319250000
15.07.2003 09:00:00.000 GMT+0900,4.761,4.853,4.472,4.591,277600006.1
16.07.2003 09:00:00.000 GMT+0900,4.610,4.743,4.426,4.609,313950012.21
17.07.2003 09:00:00.000 GMT+0900,4.605,4.731,4.454,4.635,328950012.21
18.07.2003 09:00:00.000 GMT+0900,4.653,4.718,4.466,4.659,267500000
19.07.2003 09:00:00.000 GMT+0900,4.659,4.659,4.659,4.659,0
20.07.2003 09:00:00.000 GMT+0900,4.636,4.702,4.547,4.638,4099999.9
21.07.2003 09:00:00.000 GMT+0900,4.628,4.824,4.507,4.695,343299987.79
